fips_a,fips_b,lc_type,accuracy,n_a,n_b,imp_st_damcat,imp_bldgtype,imp_clr
6035,6063,urban+grass,,764,11,,,
6035,6089,urban+grass,0.8644982074401583,764,1140,5.01107064351867,5.266959416409256,89.72196994007209
6035,6091,urban+grass,0.9717063879908778,764,84,28.102974797413044,2.9788227076056226,68.91820249498133
6037,6059,urban+grass,0.9820033280013739,27053,4286,14.189402969973369,1.7470816623187218,84.0635153677079
6037,6071,urban+grass,0.9527218088473491,27053,12902,11.262165584880233,0.7236195138634476,88.01421490125631
6037,6111,urban+grass,0.9255365074256602,27053,23925,23.775721587200227,1.9999045278617993,74.22437388493798
6039,6043,urban+grass,,1209,0,,,
6039,6047,urban+grass,0.6709865975669135,1209,1031,6.736295248158875,12.581393628724133,80.682311123117
6039,6051,urban+grass,0.9513428530476226,1209,209,9.956391230710068,6.3203353027600695,83.72327346652988
6039,6109,urban+grass,,1209,0,,,
6041,6075,urban+grass,,667,0,,,
6041,6095,urban+grass,0.996125066809193,667,21785,16.326750106679786,1.8862962878781113,81.7869536054421
6041,6097,urban+grass,0.9940304652120213,667,13907,21.178675287410396,8.236644533493807,70.58468017909581
6043,6047,urban+grass,,0,1031,,,
6043,6099,urban+grass,,0,469,,,
6043,6109,urban+grass,,0,0,,,
6045,6097,urban+grass,,0,13907,,,
6045,6103,urban+grass,,0,2537,,,
6045,6105,urban+grass,,0,0,,,
6047,6069,urban+grass,0.9490204800794543,1031,2441,6.416198900502993,1.8460273395771636,91.73777375991985
6047,6085,urban+grass,0.9749528361128997,1031,7992,2.2374301289832443,2.766849878256678,94.99571999276007
6047,6099,urban+grass,0.956,1031,469,13.25703701169957,3.4724227167596298,83.27054027154082
6049,6089,urban+grass,0.9743150684931506,612,1140,10.125397025259264,3.349690355045082,86.52491261969564
6049,6093,urban+grass,0.8768436578171092,612,744,4.876259755624685,3.5403377091618893,91.58340253521341
6051,6109,urban+grass,,209,0,,,
6053,6069,urban+grass,0.9061949653800706,885,2441,6.34440364232166,7.402172858714989,86.25342349896336
6053,6079,urban+grass,0.9643399550452586,885,15576,5.311720517686976,5.136911248712161,89.55136823360085
6053,6087,urban+grass,,885,0,,,
6055,6095,urban+grass,0.9704936599546211,5904,21785,15.088423464427274,1.4982263601712587,83.41335017540146
6055,6097,urban+grass,1.0,5904,13907,28.573201900314896,2.5166212744045664,68.91017682528056
6055,6113,urban+grass,0.9297153407019962,5904,527,15.73699468123423,5.108856332637466,79.15414898612832
6057,6061,urban+grass,,0,5127,,,
6057,6091,urban+grass,,0,84,,,
6057,6115,urban+grass,,0,228,,,
6059,6065,urban+grass,0.8785374921976824,4286,30449,6.503833142715141,89.92083510858613,3.5753317486987597
6059,6071,urban+grass,0.7607050196529278,4286,12902,47.638101677838854,37.158538951746436,15.203359370414733
6059,6073,urban+grass,0.9319665772261091,4286,3666,19.015747569056735,1.602038449568908,79.38221398137439
6061,6067,urban+grass,0.8505621740576311,5127,4034,1.4964713895093695,1.7803957565983393,96.7231328538923
6061,6101,urban+grass,,5127,0,,,
6061,6115,urban+grass,0.9910364145658264,5127,228,31.477782928829164,8.25788532948898,60.26433174168185
6063,6089,urban+grass,,11,1140,,,
6063,6091,urban+grass,,11,84,,,
6063,6103,urban+grass,,11,2537,,,
6063,6115,urban+grass,,11,228,,,
6065,6071,urban+grass,0.7042052157802963,30449,12902,22.939503776932032,59.996950528682156,17.063545694385827
6065,6073,urban+grass,0.9828814450337249,30449,3666,12.066283867937363,3.0077613835207253,84.9259547485419
6067,6077,urban+grass,0.8586602827265529,4034,2652,2.181425151114816,3.571881436012663,94.24669341287253
6067,6095,urban+grass,0.9467834709263294,4034,21785,8.750429042394712,1.4281786721144087,89.82139228549087
6067,6101,urban+grass,,4034,0,,,
6067,6113,urban+grass,0.968866713957807,4034,527,4.355510080363189,0.9645485445513773,94.67994137508546
6069,6085,urban+grass,0.9141191197622826,2441,7992,2.068140571846886,1.2892825785101918,96.64257684964292
6069,6087,urban+grass,,2441,0,,,
6075,6081,urban+grass,,0,0,,,
6077,6099,urban+grass,0.8683117195004804,2652,469,6.0280373167555625,3.2403782277279287,90.7315844555165
6079,6083,urban+grass,0.8096501515559417,15576,6683,5.936633882959787,1.9799255375001366,92.08344057954008
6081,6085,urban+grass,,0,7992,,,
6081,6087,urban+grass,,0,0,,,
6083,6111,urban+grass,0.860591945218911,6683,23925,7.300901541083633,2.5232380250789532,90.17586043383741
6085,6087,urban+grass,,7992,0,,,
6085,6099,urban+grass,0.9804988422696042,7992,469,2.7842645156015804,5.224326353479458,91.99140913091895
6089,6093,urban+grass,0.9501061571125266,1140,744,8.462559653307245,6.8275158654922015,84.70992448120055
6089,6103,urban+grass,0.9624685110585833,1140,2537,13.81247989835391,1.2673074437460095,84.92021265790008
6089,6105,urban+grass,,1140,0,,,
6091,6115,urban+grass,0.9647435897435898,84,228,14.746033162575214,3.7425115017617356,81.51145533566307
6093,6105,urban+grass,,744,0,,,
6095,6097,urban+grass,0.774851609031573,21785,13907,5.443930542271883,1.7669414407413913,92.78912801698672
6095,6113,urban+grass,0.9970419746117756,21785,527,3.965147613959902,0.527491608163862,95.50736077787626
6099,6109,urban+grass,,469,0,,,
6101,6113,urban+grass,,0,527,,,
6101,6115,urban+grass,,0,228,,,
6103,6105,urban+grass,,2537,0,,,
6001,6013,shrub,0.9427942794279428,1368,2268,1.4582105277046158,2.915629680023443,95.62615979227195
6001,6075,shrub,,1368,0,,,
6001,6077,shrub,0.923039923039923,1368,711,1.0627895481248413,2.4351079821746695,96.50210246970052
6001,6081,shrub,,1368,28,,,
6001,6085,shrub,0.5647152528872958,1368,1143,15.598168188195661,29.173635947915486,55.22819586388885
6001,6099,shrub,0.9589812475700338,1368,436,2.159462837545015,4.548335844004862,93.29220131845011
6003,6005,shrub,,14,513,,,
6003,6009,shrub,,14,1359,,,
6003,6017,shrub,,14,100,,,
6003,6051,shrub,,14,214,,,
6003,6109,shrub,,14,270,,,
6005,6009,shrub,0.9893162393162394,513,1359,5.686331992143095,4.63759543643004,89.67607257142687
6005,6017,shrub,0.9543360433604335,513,100,2.347253178661784,5.946469103492163,91.70627771784605
6005,6067,shrub,0.9665584976750758,513,2866,1.7970626383672876,3.03619603575222,95.16674132588051
6005,6077,shrub,0.8839869281045751,513,711,2.542774881824488,4.051492664652377,93.40573245352313
6007,6011,shrub,0.9992283950617283,1207,91,4.394896653901008,3.334234047900207,92.27086929819879
6007,6021,shrub,0.966796875,1207,329,2.89113114968976,3.1140170298980903,93.99485182041218
6007,6063,shrub,0.9858156028368793,1207,62,7.627343443269681,1.906071607485826,90.46658494924448
6007,6101,shrub,0.9696969696969697,1207,179,3.7334029812458827,34.07609165867113,62.190505360082994
6007,6103,shrub,0.9971540377090005,1207,1604,0.35844098551159953,2.397798455377349,97.24376055911107
6007,6115,shrub,0.8726082578046324,1207,779,1.140960532529727,3.118434857726897,95.7406046097434
6009,6077,shrub,0.9990338164251208,1359,711,2.503792605117941,4.317508773496137,93.17869862138595
6009,6099,shrub,0.9972157237164133,1359,436,3.070920685068852,1.4379521856371544,95.491127129294
6009,6109,shrub,0.8772252915899325,1359,270,1.870638347926173,4.2202296159287815,93.90913203614504
6011,6021,shrub,0.9714285714285715,91,329,2.575252307944912,8.931486564516334,88.49326112753877
6011,6033,shrub,0.9820894725603245,91,579,0.6896765338716716,10.483904023696333,88.82641944243201
6011,6101,shrub,0.9444444444444445,91,179,18.025685401053213,2.5001698717011482,79.47414472724563
6011,6113,shrub,0.9741784037558686,91,335,4.738267420982302,1.2082760796225323,94.05345649939514
6013,6041,shrub,0.9771891096394407,2268,450,4.0639320745870755,1.0152543627524526,94.92081356266047
6013,6067,shrub,0.9353342446074603,2268,2866,1.2028746992351254,6.5760662279729205,92.22105907279193
6013,6075,shrub,,2268,0,,,
6013,6077,shrub,0.7959046659953004,2268,711,5.177367660121598,1.5382271596899182,93.28440518018847
