fips,lc_type,n_county,n_pool,num_neighbors,kl_div,l1_distance,top_color,top_contrib
6049,urban+forest,29,39158,3,2.550247806275933,0.23722474727089118,beige,1.7117831714412743
6049,urban+grass,1223,7603,3,1.2638302023513002,0.393336181194547,beige,0.4529061273397297
6049,urban+shrub,267,1605,3,0.9774450646550411,0.34190754617203634,beige,0.5410780310168063
6051,barren,87,939,5,0.4653321007507153,0.20346366427840326,beige,0.1908108974860305
6051,crop,4,3262,5,0.37860000448008746,0.05867965367965368,beige,0.18850204862204947
6051,forest,2938,26624,5,1.3822936559659542,0.43581287259544615,beige,0.8327792813710478
6051,grass,81,742,5,0.27000457202364175,0.16235725059254474,ivory,0.10380443171929621
6051,shrub,305,5287,5,1.4098060412734326,0.43962413939418826,beige,0.9362200879725495
6051,urban+barren,214,15519,5,1.0553375581152662,0.27688423830032105,beige,0.4474890736388627
6051,urban+forest,3325,16270,5,0.8933541901221896,0.3520313798802141,beige,0.5427206548102507
6051,urban+grass,343,14667,5,1.3337786448361584,0.30410407301603454,beige,0.566498145636237
6051,urban+shrub,216,4631,5,1.3067683224055344,0.31389142324225966,beige,0.47054091799090886
6053,crop,1432,6549,5,0.8673506997381004,0.2824687154351645,brown,0.34718241140536527
6053,forest,14768,42992,5,0.15757156859047716,0.07216948621962022,alabaster,0.039584187141642344
6053,grass,14,938,5,0.11267178979044473,0.12263556116015133,bar,0.20839040896288122
6053,shrub,1813,12265,5,0.7080800929265879,0.2382993250779777,indigo,0.26391188742978366
6053,urban,5444,181318,5,2.338286267327686,0.3852392412120878,brown,0.7490562116739107
6053,urban+barren,155,12552,5,2.1814198002348975,0.3242605571491479,brown,0.8631028131725261
6053,urban+crop,44917,105474,5,0.5986656217357726,0.2280118133398645,brown,0.19007007443154209
6053,urban+forest,22925,88914,5,0.0769652046159683,0.06208126603342476,green,0.033173442341382225
6053,urban+grass,3686,81700,5,0.8625058782364554,0.26974364582506277,indigo,0.3213440743608269
