fips,lc_type,clr,y_county,y_pool,p_county,p_pool,contrib,abs_diff
6027,crop,ivory,1,2,0.05,0.00035587188612099647,0.24726037443869006,0.049644128113879006
6027,forest,aqua,15,278,0.05387205387205387,0.0059445178335535,0.11874168027465352,0.04792753603850037
6027,forest,beige,82,1281,0.27946127946127947,0.027314952912600672,0.6498674949819978,0.2521463265486788
6027,forest,coffee,7,25,0.026936026936026935,0.0005539694038436954,0.10462250514042273,0.02638205753218324
6027,forest,gray,2,2,0.010101010101010102,6.391954659734946e-05,0.05113904545131153,0.010037090554412752
6027,forest,ivory,27,331,0.09427609427609428,0.007073763156773341,0.24415953247905578,0.08720233111932094
6027,forest,lilac,20,166,0.0707070707070707,0.0035581880939191206,0.2113642310596521,0.06714888261315158
6027,forest,olive,70,733,0.23905723905723905,0.01563898240081817,0.6518938744632037,0.22341825665642087
6027,forest,orange,29,4877,0.10101010101010101,0.10393318276729024,-0.0028815855993807636,0.002923081757189236
6027,forest,plum,1,1,0.006734006734006734,4.261303106489965e-05,0.03409269696754101,0.006691393702941834
6027,forest,sage,6,1315,0.02356902356902357,0.02803937444070397,-0.00409338465336956,0.004470350871680399
6027,grass,aqua,19,24,0.06825938566552901,0.0036560397777127816,0.1997907447008853,0.06460334588781623
6027,grass,beige,96,117,0.3310580204778157,0.01725650775080433,0.9779799268816725,0.31380151272701134
6027,grass,coffee,2,8,0.010238907849829351,0.0013161743199766012,0.021004767977959755,0.00892273352985275
6027,grass,foo,2,2,0.010238907849829351,0.0004387247733255338,0.03225335796432265,0.009800183076503818
6027,grass,gray,2,2,0.010238907849829351,0.0004387247733255338,0.03225335796432265,0.009800183076503818
6027,grass,ivory,85,111,0.2935153583617747,0.016379058204153262,0.8470637174337574,0.2771363001576215
6027,grass,lilac,14,19,0.051194539249146756,0.0029248318221702253,0.1465390386722047,0.04826970742697653
6027,grass,olive,16,19,0.05802047781569966,0.0029248318221702253,0.17333960252093816,0.05509564599352944
6027,grass,orange,19,704,0.06825938566552901,0.10310032173150044,-0.028149322052976,0.034840936065971426
6027,shrub,aqua,52,109,0.10211946050096339,0.004497505928530542,0.31888030082887475,0.09762195457243285
6027,shrub,beige,210,376,0.40655105973025046,0.015414179409600132,1.3304065110809686,0.3911368803206503
6027,shrub,coffee,5,17,0.011560693641618497,0.0007359555155777251,0.03184042159439672,0.010824738126040772
6027,shrub,gray,2,2,0.005780346820809248,0.0001226592525962875,0.022270570847303044,0.005657687568212961
6027,shrub,ivory,81,106,0.1579961464354528,0.004374846675934255,0.5666846471861915,0.15362129975951855
6027,shrub,lilac,52,77,0.10211946050096339,0.0031891405675034752,0.35398606493764107,0.09893031993345991
6027,shrub,olive,27,36,0.05394990366088632,0.001512797448687546,0.19282210002929356,0.05243710621219877
6027,shrub,orange,52,1940,0.10211946050096339,0.07936053642979803,0.025748613890609853,0.022758924071165365
6027,urban+barren,aqua,235,257,0.07308764323319913,0.002418130354096763,0.24913126603282568,0.07066951287910238
6027,urban+barren,beige,988,1063,0.30628677609166927,0.009972444561081224,1.0489391257997946,0.29631433153058806
6027,urban+barren,coffee,116,116,0.03623412821306906,0.0010965939977880669,0.12673945946274476,0.03513753421528099
6027,urban+barren,foo,107,117,0.03344688758129452,0.0011059665960597596,0.11402843474748184,0.032340920985234764
6027,urban+barren,gold,9,9,0.003096934035305048,9.372598271692879e-05,0.010832432432713226,0.003003208052588119
6027,urban+barren,gray,27,27,0.008671415298854134,0.0002624327516074006,0.030330810811597032,0.008408982547246733
6027,urban+barren,indigo,14,200,0.004645401052957572,0.0018838922526102687,0.00419264970067932,0.0027615088003473034
6027,urban+barren,ivory,363,383,0.11272839888510375,0.0035990777363300655,0.388270846737767,0.10912932114877369
6027,urban+barren,lemon,166,443,0.051718798389594305,0.004161433632631638,0.13032939020711504,0.047557364756962664
6027,urban+barren,lilac,528,564,0.16382781046763703,0.005295518023506476,0.5622496951010509,0.15853229244413056
6027,urban+barren,maroon,3,3,0.0012387736141220192,3.7490393086771516e-05,0.00433297297308529,0.0012012832210352477
6027,urban+barren,olive,85,90,0.026633632703623414,0.0008529064427240519,0.09165379346990996,0.02578072626089936
6027,urban+barren,orange,509,18806,0.15794363580055745,0.17627045569572797,-0.017339251615766185,0.018326819895170515
6027,urban+barren,plum,39,39,0.012387736141220192,0.00037490393086771516,0.0433297297308529,0.012012832210352476
6027,urban+barren,sage,2,17,0.0009290802105915144,0.00016870676889047182,0.0015850414648142263,0.0007603734417010426
