h3,total_exposure,exposure_bin
89283082abbffff,337,High (50+)
8929a0b05c7ffff,337,High (50+)
89283444edbffff,337,High (50+)
8929a4015cfffff,337,High (50+)
89283082e63ffff,337,High (50+)
89283082d07ffff,337,High (50+)
89283082d2bffff,337,High (50+)
8929a549947ffff,337,High (50+)
8929a549ab7ffff,336,High (50+)
8929a1d617bffff,336,High (50+)
89283082b37ffff,336,High (50+)
8929a54b2cbffff,336,High (50+)
8929a401893ffff,335,High (50+)
8929a086b5bffff,335,High (50+)
8929a41a903ffff,335,High (50+)
8929a1c23cbffff,335,High (50+)
8929a565363ffff,334,High (50+)
8929a40346bffff,334,High (50+)
89283471883ffff,334,High (50+)
89283082dcfffff,334,High (50+)
8929a40aa83ffff,334,High (50+)
89283082a23ffff,334,High (50+)
8929a0a045bffff,334,High (50+)
8929a56426bffff,334,High (50+)
8929a11551bffff,334,High (50+)
8929a199e8fffff,333,High (50+)
8929a19959bffff,333,High (50+)
89283095043ffff,333,High (50+)
8929a41ad1bffff,333,High (50+)
8928309518bffff,333,High (50+)
8929a565897ffff,332,High (50+)
89283082cb3ffff,332,High (50+)
8928309510bffff,332,High (50+)
89283082dc7ffff,332,High (50+)
8929a4ce8b3ffff,331,High (50+)
8929a56733bffff,331,High (50+)
8929a562e6bffff,331,High (50+)
8929a1c21d7ffff,331,High (50+)
8929a40ab8fffff,331,High (50+)
8929a4540a7ffff,330,High (50+)
892834710afffff,330,High (50+)
8929a198c13ffff,330,High (50+)
8929a565cc7ffff,329,High (50+)
8929a1d58b7ffff,329,High (50+)
8929a40e257ffff,329,High (50+)
8929a199e6fffff,329,High (50+)
89283082c93ffff,329,High (50+)
89283095b47ffff,329,High (50+)
8929a418c93ffff,329,High (50+)
8929a1885dbffff,328,High (50+)
8929a54b207ffff,327,High (50+)
892830952a3ffff,327,High (50+)
8929a1d5807ffff,327,High (50+)
8929a549d47ffff,327,High (50+)
8928308284fffff,327,High (50+)
8929a19a2d3ffff,327,High (50+)
8928308280bffff,327,High (50+)
8929a400cd7ffff,326,High (50+)
8929a54db33ffff,326,High (50+)
8929a475d7bffff,326,High (50+)
8929a4542d7ffff,326,High (50+)
89283082b4fffff,326,High (50+)
89283095017ffff,325,High (50+)
8929a0b700fffff,325,High (50+)
892830828b7ffff,325,High (50+)
8929a4c4013ffff,325,High (50+)
8929a56b537ffff,324,High (50+)
8929a099a27ffff,324,High (50+)
8928308761bffff,324,High (50+)
8929a18332bffff,324,High (50+)
8929a560c6fffff,324,High (50+)
892830828a3ffff,324,High (50+)
8929a5698dbffff,324,High (50+)
89283622377ffff,324,High (50+)
8929a560993ffff,323,High (50+)
8929a1d5d43ffff,323,High (50+)
8929a19954bffff,323,High (50+)
8929a418943ffff,323,High (50+)
8929a4023c3ffff,323,High (50+)
8929a41aca7ffff,323,High (50+)
8929a005e03ffff,322,High (50+)
8929a1d6353ffff,322,High (50+)
89283082d1bffff,322,High (50+)
89283082c7bffff,322,High (50+)
8929a56db2fffff,321,High (50+)
89283082d33ffff,321,High (50+)
8929a1d0a2fffff,321,High (50+)
8929a0b0557ffff,321,High (50+)
892830829c7ffff,321,High (50+)
8929a199c37ffff,321,High (50+)
8929a0b7197ffff,321,High (50+)
89283082ddbffff,320,High (50+)
89283082b5bffff,320,High (50+)
8929a454ec3ffff,320,High (50+)
8929a1899abffff,320,High (50+)
8929a1d666fffff,320,High (50+)
892830953cfffff,320,High (50+)
8929a0b2dd7ffff,320,High (50+)
8929a5614abffff,320,High (50+)
89283444bbbffff,319,High (50+)
8929a1d753bffff,319,High (50+)
8929a470eb7ffff,319,High (50+)
8929a402a57ffff,319,High (50+)
8929a198acbffff,319,High (50+)
89283082d37ffff,319,High (50+)
8929a401c07ffff,319,High (50+)
89283082dc3ffff,319,High (50+)
8929a19a2d7ffff,318,High (50+)
89283082cc3ffff,318,High (50+)
892830825a7ffff,318,High (50+)
8928308295bffff,318,High (50+)
8929a54918fffff,318,High (50+)
8929a41ad2bffff,318,High (50+)
89283082197ffff,318,High (50+)
8929a579183ffff,318,High (50+)
8929a18f0c3ffff,318,High (50+)
8928309500bffff,318,High (50+)
8929a1d75afffff,317,High (50+)
8929a030467ffff,317,High (50+)
8929a19b1b3ffff,317,High (50+)
8928309520bffff,317,High (50+)
8928309507bffff,317,High (50+)
8928347ac3bffff,316,High (50+)
8929a19abcfffff,316,High (50+)
89283471493ffff,316,High (50+)
8929a56144bffff,316,High (50+)
892832ba417ffff,316,High (50+)
8928309508fffff,316,High (50+)
8929a198407ffff,316,High (50+)
8929a08439bffff,316,High (50+)
8929a54b647ffff,316,High (50+)
89283082d4fffff,316,High (50+)
8929a4026c7ffff,316,High (50+)
8929a0b704fffff,316,High (50+)
8929a0a7017ffff,316,High (50+)
8929a086967ffff,315,High (50+)
8929a0a6547ffff,314,High (50+)
8929a568897ffff,314,High (50+)
8929a54b0d7ffff,314,High (50+)
8929a18e6d7ffff,314,High (50+)
892830876d3ffff,314,High (50+)
8929a0d6d0bffff,314,High (50+)
8929a0329cbffff,313,High (50+)
8928308208fffff,313,High (50+)
8929a188ed7ffff,313,High (50+)
89283082187ffff,313,High (50+)
8929a41ab8fffff,313,High (50+)
8929a1d62d7ffff,313,High (50+)
8929a40884bffff,312,High (50+)
8929a54d33bffff,312,High (50+)
8929a0b404bffff,312,High (50+)
89283095dcbffff,311,High (50+)
89283087487ffff,311,High (50+)
8928309534fffff,311,High (50+)
892830829d7ffff,311,High (50+)
89283082ec7ffff,311,High (50+)
8929a0a9833ffff,311,High (50+)
8929a0b36abffff,311,High (50+)
8929a4cec8fffff,311,High (50+)
89283082983ffff,311,High (50+)
8929a0b2c4bffff,311,High (50+)
892830950abffff,311,High (50+)
8929a578963ffff,311,High (50+)
89283082bb7ffff,311,High (50+)
89283082c9bffff,311,High (50+)
8929a57892bffff,311,High (50+)
89283082d23ffff,311,High (50+)
8929a54daabffff,310,High (50+)
8929a549103ffff,310,High (50+)
89283082b07ffff,310,High (50+)
89283082c5bffff,310,High (50+)
8929a4721cfffff,310,High (50+)
8929a18cd8fffff,309,High (50+)
8929a5655afffff,309,High (50+)
892830d2c8bffff,309,High (50+)
8929a0a06d3ffff,309,High (50+)
89283082e67ffff,309,High (50+)
89283446c47ffff,309,High (50+)
8929a56534bffff,309,High (50+)
8929a4188c7ffff,309,High (50+)
8929a54cd07ffff,309,High (50+)
8929a565533ffff,308,High (50+)
89283082c87ffff,308,High (50+)
892830951dbffff,308,High (50+)
89283082b13ffff,308,High (50+)
8929a1d5897ffff,308,High (50+)
8929a41a95bffff,308,High (50+)
8929a401ddbffff,308,High (50+)
