fips,lc_type,clr,count,exposure,observed_prop,baseline_prop,shrinkage_weight,stabilized_prop,movement,abs_movement,effective_n,exposure_bin
6001,shrub,purple,19,2586,0.007347254447022429,0.0067043522357784205,0.9961479198767335,0.0073447779361932915,-2.4765108291371907e-06,2.4765108291371907e-06,2596.0,100+
6001,shrub,red,279,2586,0.10788863109048724,0.04028577394624586,0.9961479198767335,0.10762821946820587,-0.0002604116222813674,0.0002604116222813674,2596.0,100+
6001,urban,alabaster,23825,277359,0.0858995020893499,0.053621538398062864,0.9999639469443232,0.08589833837012781,-1.163719222097015e-06,1.163719222097015e-06,277369.0,100+
6001,urban,amber,23832,277359,0.0859247401382324,0.0519343218011694,0.9999639469443232,0.08592351467978761,-1.2254584447896066e-06,1.2254584447896066e-06,277369.0,100+
6001,urban,cocoa,77286,277359,0.2786496922760754,0.24906836339284816,0.9999639469443232,0.2786486257787782,-1.066497297197433e-06,1.066497297197433e-06,277369.0,100+
6001,urban,green,18968,277359,0.06838790160045284,0.021275080133531493,0.9999639469443232,0.06838620303927741,-1.698561175433877e-06,1.698561175433877e-06,277369.0,100+
6001,urban,grey,735,277359,0.0026499951326620012,0.006150785219566493,0.9999639469443232,0.002650121346841917,1.2621417991558886e-07,1.2621417991558886e-07,277369.0,100+
6001,urban,indigo,780,277359,0.002812239732620899,0.001878348668273187,0.9999639469443232,0.00281220606299436,-3.36696265390915e-08,3.36696265390915e-08,277369.0,100+
6001,urban,lemon,728,277359,0.002624757083779506,0.046717156801119146,0.9999639469443232,0.002626346749521438,1.5896657419318255e-06,1.5896657419318255e-06,277369.0,100+
6001,urban,navy,29057,277359,0.10476314091123778,0.04329388266289293,0.9999639469443232,0.10476092475664774,-2.2161545900484247e-06,2.2161545900484247e-06,277369.0,100+
6001,urban,orange,42496,277359,0.153216589330074,0.08408559260904269,0.9999639469443232,0.15321409694640026,-2.492383673752263e-06,2.492383673752263e-06,277369.0,100+
6001,urban,purple,29834,277359,0.10756456433719476,0.040057156247470894,0.9999639469443232,0.10756213048885231,-2.433848342447975e-06,2.433848342447975e-06,277369.0,100+
6001,urban,red,29818,277359,0.10750687736832049,0.06229406797636804,0.9999639469443232,0.10750524730838616,-1.6300599343238575e-06,1.6300599343238575e-06,277369.0,100+
6001,urban+barren,alabaster,53,590,0.08983050847457627,0.08580856919766673,0.9833333333333333,0.08976347615329446,-6.703232128181524e-05,6.703232128181524e-05,600.0,100+
6001,urban+barren,amber,50,590,0.0847457627118644,0.10814840462554366,0.9833333333333333,0.08513580674375906,0.00039004403189465964,0.00039004403189465964,600.0,100+
6001,urban+barren,cocoa,184,590,0.31186440677966104,0.23921254111653248,0.9833333333333333,0.31065354235194226,-0.001210864427718783,0.001210864427718783,600.0,100+
6001,urban+barren,green,9,590,0.015254237288135594,0.030617905079547904,0.9833333333333333,0.015510298417992466,0.0002560611298568719,0.0002560611298568719,600.0,100+
6001,urban+barren,navy,53,590,0.08983050847457627,0.09152513628960171,0.9833333333333333,0.08985875227149337,2.8243796917098996e-05,2.8243796917098996e-05,600.0,100+
6001,urban+barren,orange,113,590,0.19152542372881357,0.17160653907439663,0.9833333333333333,0.1911934423179066,-0.0003319814109069563,0.0003319814109069563,600.0,100+
6001,urban+barren,purple,32,590,0.05423728813559322,0.061133350056706365,0.9833333333333333,0.054352222500945103,0.00011493436535188473,0.00011493436535188473,600.0,100+
6001,urban+barren,red,96,590,0.16271186440677965,0.1424230754283009,0.9833333333333333,0.162373717923805,-0.0003381464829746439,0.0003381464829746439,600.0,100+
6001,urban+crop,alabaster,10,98,0.10204081632653061,0.08191710673707793,0.9074074074074074,0.10017750988306277,-0.001863306443467841,0.001863306443467841,108.0,50-100
6001,urban+crop,amber,15,98,0.15306122448979592,0.04593623868707882,0.9074074074074074,0.14314224432287767,-0.009918980166918251,0.009918980166918251,108.0,50-100
6001,urban+crop,cocoa,19,98,0.19387755102040816,0.07954339360964421,0.9074074074074074,0.18329105496385595,-0.010586496056552208,0.010586496056552208,108.0,50-100
6001,urban+crop,green,6,98,0.061224489795918366,0.020751764726800733,0.9074074074074074,0.057477015252481556,-0.00374747454343681,0.00374747454343681,108.0,50-100
6001,urban+crop,navy,10,98,0.10204081632653061,0.01918351380665351,0.9074074074074074,0.09436884387098644,-0.007671972455544171,0.007671972455544171,108.0,50-100
6001,urban+crop,orange,15,98,0.15306122448979592,0.05262530893831902,0.9074074074074074,0.143761602679474,-0.009299621810321929,0.009299621810321929,108.0,50-100
6001,urban+crop,purple,9,98,0.09183673469387756,0.03737309080564001,0.9074074074074074,0.08679380470422593,-0.005042929989651626,0.005042929989651626,108.0,50-100
6001,urban+crop,red,14,98,0.14285714285714285,0.055619565797194216,0.9074074074074074,0.13477958942566612,-0.00807755343147673,0.00807755343147673,108.0,50-100
6001,urban+forest,alabaster,2049,29114,0.07037851205605551,0.0571751868724472,0.9996566405713501,0.07037397856986419,-4.533486191324321e-06,4.533486191324321e-06,29124.0,100+
6001,urban+forest,amber,1457,29114,0.05004465205742942,0.03224848461904101,0.9996566405713501,0.05003854157554562,-6.110481883800367e-06,6.110481883800367e-06,29124.0,100+
6001,urban+forest,cocoa,11275,29114,0.3872707288589682,0.16709951247008148,0.9996566405713501,0.38719513099590375,-7.559786306443605e-05,7.559786306443605e-05,29124.0,100+
6001,urban+forest,green,4080,29114,0.14013876485539603,0.07298057872619663,0.9996566405713501,0.14011570545897753,-2.3059396418501077e-05,2.3059396418501077e-05,29124.0,100+
6001,urban+forest,grey,11,29114,0.0003778251013258226,0.004074387222425535,0.9996566405713501,0.0003790943507836924,1.2692494578698111e-06,1.2692494578698111e-06,29124.0,100+
6001,urban+forest,indigo,6,29114,0.00020608641890499415,0.01680905568946153,0.9996566405713501,0.0002117872049476249,5.700786042630755e-06,5.700786042630755e-06,29124.0,100+
6001,urban+forest,lemon,6,29114,0.00020608641890499415,0.014425669564924767,0.9996566405713501,0.00021096884684965178,4.882427944657628e-06,4.882427944657628e-06,29124.0,100+
6001,urban+forest,navy,1457,29114,0.05004465205742942,0.011720067808302731,0.9996566405713501,0.050031492950078395,-1.3159107351022603e-05,1.3159107351022603e-05,29124.0,100+
6001,urban+forest,orange,4703,29114,0.16153740468503125,0.040741348342019694,0.9996566405713501,0.16149592822014214,-4.147646488911194e-05,4.147646488911194e-05,29124.0,100+
6001,urban+forest,purple,1749,29114,0.0600741911108058,0.010978887725098746,0.9996566405713501,0.060057333775485895,-1.6857335319905853e-05,1.6857335319905853e-05,29124.0,100+
