fips,lc_type,bldgtype,freq
6099,urban+forest,M,0.10273652508048603
6099,urban+crop,W,0.09525911309585627
6099,urban+crop,M,0.09068958354969363
6099,forest,W,0.043955758645757605
6099,forest,M,0.0431508983279676
6099,urban,C,0.024093883061584796
6099,crop,W,0.01900508879426732
6099,crop,M,0.017940596115899887
6099,urban+forest,C,0.00963236057742237
6099,urban+crop,C,0.0095285076331914
6099,urban,S,0.008567867899054938
6099,urban,H,0.007685117873091702
6099,urban+shrub,W,0.00662062519472427
6099,urban+shrub,M,0.0063869560702045905
6099,urban+grass,W,0.006179250181742652
6099,urban+grass,M,0.005789801640876519
6099,shrub,W,0.005608058988472323
6099,shrub,M,0.005010904559144252
6099,urban+forest,S,0.004829161906740056
6099,urban+crop,S,0.004102191297123274
6099,urban+crop,H,0.003842558936545851
6099,urban+forest,H,0.0036608162841416554
6099,forest,S,0.0014539412192335654
6099,forest,H,0.0013500882750025964
6099,urban+barren,W,0.0012721985668293697
6099,urban+barren,M,0.0007269706096167827
6099,forest,C,0.0006231176653858137
6099,crop,S,0.0004673382490393603
6099,crop,C,0.00044137501298161804
6099,urban+barren,C,0.00038944854086613354
6099,grass,W,0.00036348530480839134
6099,shrub,H,0.00036348530480839134
6099,urban+shrub,H,0.00023366912451968015
6099,grass,M,0.0002077058884619379
6099,shrub,S,0.0002077058884619379
6099,urban+barren,H,0.0002077058884619379
6099,crop,H,0.00015577941634645342
6099,urban+barren,S,0.00015577941634645342
6099,shrub,C,0.0001298161802887112
6099,urban+grass,H,0.00010385294423096895
6099,urban+grass,C,7.788970817322671e-05
6099,grass,S,5.1926472115484474e-05
6099,urban+grass,S,2.5963236057742237e-05
6099,urban+shrub,C,2.5963236057742237e-05
6099,urban+shrub,S,2.5963236057742237e-05
6097,urban+grass,W,0.14144399962759518
6097,urban+grass,M,0.13636998417279583
6097,forest,W,0.13141234521925332
6097,forest,M,0.12726934177450888
6097,urban+forest,W,0.11574806815007914
6097,urban+forest,M,0.10964993948421935
6097,shrub,M,0.06140024206312261
6097,shrub,W,0.061307140862117124
6097,urban+grass,C,0.024066660459919932
6097,urban+shrub,W,0.013103994041523136
6097,urban+grass,H,0.012894516339260776
6097,urban+shrub,M,0.0119169537287031
6097,urban+grass,S,0.008914439996275952
6097,urban+forest,C,0.008425658690997114
6097,urban+forest,H,0.006982590075411973
6097,forest,H,0.005260217856810353
6097,shrub,H,0.004399031747509543
6097,urban+forest,S,0.003863699841727958
6097,forest,C,0.0024439065263941904
6097,shrub,S,0.002397355925891444
6097,forest,S,0.002211153523880458
6097,urban+shrub,H,0.0016990969183502467
6097,crop,W,0.0012103156130714085
6097,shrub,C,0.0009775626105576762
6097,urban+shrub,S,0.0009077367098035565
6097,urban+shrub,C,0.0007913602085466903
6097,crop,M,0.0006051578065357043
6097,urban+crop,W,0.00046550600502746485
6097,crop,S,0.0004422307047760916
6097,grass,W,0.0004422307047760916
6097,urban+crop,M,0.0004422307047760916
6097,grass,M,0.00020947770226235917
6097,crop,C,0.0001629271017596127
6097,crop,H,0.00011637650125686621
6097,urban+crop,C,4.6550600502746487e-05
6095,urban+grass,W,0.3452392998077507
6095,urban+grass,M,0.3339404364396776
6095,shrub,M,0.03912442240885022
6095,shrub,W,0.03885459880603056
6095,urban+grass,C,0.026172889473506693
6095,urban+crop,W,0.023339741643900302
6095,urban+crop,M,0.0228675503389659
6095,urban+forest,W,0.02209180748085939
6095,urban+forest,M,0.021450976424162705
6095,urban+shrub,W,0.018280549091031738
6095,urban+grass,S,0.017774629835744883
6095,urban+shrub,M,0.017605990083982597
6095,forest,W,0.016695335424466256
6095,forest,M,0.015346217410367973
6095,urban+grass,H,0.011636142871597694
6095,crop,M,0.005126648453573477
6095,crop,W,0.004587001247934163
6095,grass,W,0.003608890687712908
6095,grass,M,0.0034402509359506223
6095,shrub,H,0.0023609565246719955
6095,urban+crop,C,0.0020236770211474247
6095,shrub,S,0.0009781105602212554
6095,urban+crop,S,0.0008431987588114271
6095,urban+shrub,C,0.0007420149077540558
6095,forest,S,0.0006408310566966846
6095,forest,H,0.0006071031063442275
6095,urban+shrub,S,0.0005733751559917704
6095,shrub,C,0.0005059192552868562
6095,urban+forest,C,0.00047219130493439913
6095,urban+forest,H,0.00047219130493439913
6095,urban+crop,H,0.00043846335458194203
6095,crop,S,0.000404735404229485
6095,urban+forest,S,0.0003710074538770279
6095,crop,H,0.0003372795035245708
6095,crop,C,0.00023609565246719957
6095,forest,C,0.00023609565246719957
6095,urban+shrub,H,0.00023609565246719957
6095,grass,H,0.0002023677021147425
6095,grass,C,0.00013491180140982832
6093,forest,W,0.1643048128342246
