fips,bldgtype,freq
6077,W,0.4728415758591785
6077,M,0.4587384744341995
6077,C,0.03480720871751886
6077,H,0.01978206202849958
6077,S,0.013830678960603521
6075,W,0.3703203135558859
6075,M,0.3683831148353381
6075,C,0.16335540838852097
6075,S,0.09753570302293103
6075,H,0.0004054601973239627
6073,W,0.4475501616275872
6073,M,0.4401251511204969
6073,C,0.057013288226351266
6073,S,0.02921230548911154
6073,H,0.02609909353645312
6071,W,0.46097899812045434
6071,M,0.4367783887273958
6071,H,0.04538343898481187
6071,C,0.03763760959151986
6071,S,0.01922156457581807
6069,W,0.4661144578313253
6069,M,0.45582329317269077
6069,H,0.02886546184738956
6069,C,0.028112449799196786
6069,S,0.02108433734939759
6067,W,0.47499007936507937
6067,M,0.4500595238095238
6067,C,0.03601190476190476
6067,S,0.02134920634920635
6067,H,0.017589285714285714
6065,W,0.43453388652776165
6065,M,0.41547697858814137
6065,H,0.1031832262824627
6065,C,0.031503782576396924
6065,S,0.01530212602523739
6063,W,0.5024068913098556
6063,M,0.38662275145680264
6063,H,0.04535089941727895
6063,C,0.03673676209779579
6063,S,0.02888269571826704
6061,W,0.4892478446140125
6061,M,0.45639678921811516
6061,C,0.026929937568130016
6061,H,0.014864730948369834
6061,S,0.01256069765137251
6059,W,0.45121788136402713
6059,M,0.44008660489699747
6059,C,0.06718884325150444
6059,S,0.023497946317699876
6059,H,0.01800872416977107
6057,W,0.452
6057,M,0.4402857142857143
6057,H,0.08107142857142857
6057,C,0.0165
6057,S,0.010142857142857143
6055,W,0.46492798090854853
6055,M,0.4400409102531322
6055,C,0.03929088894570869
6055,H,0.03366572914003239
6055,S,0.0220744907525782
6053,W,0.5613947022936134
6053,M,0.325044404973357
6053,C,0.04625839833191752
6053,H,0.043632712950807014
6053,S,0.023669781450305044
6051,W,0.4211375554659137
6051,M,0.4037918515530456
6051,H,0.13231141589350545
6051,C,0.02743041549011698
6051,S,0.015328761597418314
6049,H,0.3622869708631116
6049,W,0.3117097306212204
6049,M,0.2957669048927982
6049,C,0.022539857064321055
6049,S,0.007696536558548653
6047,W,0.48459194039959363
6047,M,0.42252430941899277
6047,C,0.03676648444680954
6047,S,0.030961250060471193
6047,H,0.025156015674132844
6045,W,0.40786815523657627
6045,M,0.3725677830940989
6045,H,0.1547049441786284
6045,C,0.043168527379053696
6045,S,0.021690590111642743
6043,W,0.5069848661233993
