fips,lc_type,freq
6009,urban+shrub,0.0703691674786186
6009,grass,0.001407383349572372
6007,urban+forest,0.42299189388356667
6007,forest,0.3387988209285188
6007,urban+grass,0.11546610169491525
6007,shrub,0.055591378039793665
6007,urban+crop,0.03878039793662491
6007,urban+shrub,0.015429255711127488
6007,crop,0.011284082535003685
6007,grass,0.001658069270449521
6005,forest,0.5631338238218334
6005,urban+forest,0.16245774507854444
6005,urban+grass,0.11692185325114336
6005,shrub,0.10200835156094651
6005,urban+shrub,0.04991051898985882
6005,grass,0.0031815470272419963
6005,crop,0.0023861602704314975
6003,forest,0.8966666666666666
6003,shrub,0.04666666666666667
6003,urban+forest,0.03333333333333333
6003,urban+shrub,0.023333333333333334
6001,urban,0.6232728524364459
6001,urban+grass,0.195038599596794
6001,urban+forest,0.09251610365343954
6001,forest,0.04216452770811821
6001,urban+shrub,0.02620838865122683
6001,shrub,0.01681663962236318
6001,urban+barren,0.002606087426857452
6001,urban+crop,0.0006638147219353887
6001,urban+other,0.00039337168707282295
6001,grass,0.0003196144957466686
