fips,lc_type,clr,count,exposure
6011,urban+crop,beige,985,3544
6011,urban+crop,coffee,113,3544
6011,urban+crop,foo,235,3544
6011,urban+crop,gold,2,3544
6011,urban+crop,grey,16,3544
6011,urban+crop,indigo,14,3544
6011,urban+crop,ivory,366,3544
6011,urban+crop,lemon,107,3544
6011,urban+crop,lilac,518,3544
6011,urban+crop,olive,167,3544
6011,urban+crop,orange,675,3544
6011,urban+crop,plum,30,3544
6011,urban+crop,sage,3,3544
6011,urban+forest,aquamarine,20,794
6011,urban+forest,beige,320,794
6011,urban+forest,coffee,10,794
6011,urban+forest,foo,2,794
6011,urban+forest,grey,3,794
6011,urban+forest,ivory,69,794
6011,urban+forest,lilac,102,794
6011,urban+forest,olive,136,794
6011,urban+forest,orange,124,794
6011,urban+forest,plum,4,794
6011,urban+forest,sage,4,794
6011,urban+grass,aquamarine,1,6
6011,urban+grass,beige,2,6
6011,urban+grass,ivory,1,6
6011,urban+grass,lilac,1,6
6011,urban+grass,orange,1,6
6011,urban+shrub,aquamarine,8,97
6011,urban+shrub,beige,42,97
6011,urban+shrub,foo,5,97
6011,urban+shrub,ivory,8,97
6011,urban+shrub,lemon,2,97
6011,urban+shrub,lilac,11,97
6011,urban+shrub,olive,5,97
6011,urban+shrub,orange,16,97
6013,crop,alabaster,272,916
6013,crop,blue,73,916
6013,crop,brown,309,916
6013,crop,grey,12,916
6013,crop,lavender,98,916
6013,crop,red,15,916
6013,crop,sage,102,916
6013,crop,terracotta,35,916
6013,forest,alabaster,1651,20558
6013,forest,blue,1884,20558
6013,forest,brown,8627,20558
6013,forest,grey,3,20558
6013,forest,lavender,2077,20558
6013,forest,olive,72,20558
6013,forest,sage,5723,20558
6013,forest,terracotta,521,20558
6013,grass,alabaster,37,125
6013,grass,blue,15,125
6013,grass,brown,41,125
6013,grass,grey,5,125
6013,grass,lavender,7,125
6013,grass,sage,18,125
6013,grass,terracotta,2,125
6013,other,brown,4,4
6013,shrub,alabaster,590,5133
6013,shrub,blue,812,5133
6013,shrub,brown,1994,5133
6013,shrub,grey,4,5133
6013,shrub,lavender,678,5133
6013,shrub,olive,7,5133
6013,shrub,sage,892,5133
6013,shrub,terracotta,156,5133
6013,urban,alabaster,13167,103657
6013,urban,amber,2118,103657
6013,urban,blue,12389,103657
6013,urban,brown,35564,103657
6013,urban,grey,255,103657
6013,urban,lavender,13415,103657
6013,urban,olive,150,103657
